Fecha,Compra,Venta,DMed,DiaD,Sueldo,DiaS,Real,Hoy
2021-08,177.0,182.0,179.5,31,96000.0,31,534.8,673848.0
2021-09,182.0,186.0,184.0,30,96000.0,29,521.7,657342.0
2021-10,193.5,197.5,195.5,29,96000.0,29,491.0,618660.0
2021-11,197.5,201.5,199.5,30,96000.0,30,481.2,606312.0
2021-12,204.0,208.0,206.0,30,96000.0,30,466.0,587160.0
2022-01,209.0,213.0,211.0,31,96000.0,31,455.0,573300.0
2022-02,207.0,211.0,209.0,25,96000.0,25,459.3,578718.0
2022-03,196.0,200.0,198.0,31,96000.0,31,484.8,610848.0
2022-04,196.5,200.5,198.5,29,126720.0,29,638.4,804384.0
2022-05,201.0,206.0,203.5,31,126720.0,31,622.7,784602.0
2022-06,234.0,238.0,236.0,30,126720.0,30,536.9,676494.0
2022-07,286.0,296.0,291.0,29,126720.0,29,435.5,548730.0
2022-08,285.0,290.0,287.5,31,126720.0,31,440.8,555408.0
2022-09,284.0,288.0,286.0,30,126720.0,29,443.1,558306.0
2022-10,286.0,290.0,288.0,31,164736.0,31,572.0,720720.0
2022-11,310.0,314.0,312.0,30,164736.0,30,528.0,665280.0
2022-12,342.0,346.0,344.0,30,164736.0,29,478.9,603414.0
2023-01,379.0,383.0,381.0,31,227920.0,31,598.2,753732.0
2023-02,373.0,377.0,375.0,28,205920.0,28,549.1,691866.0
2023-03,388.0,393.0,390.5,31,205920.0,31,527.3,664398.0
2023-04,462.0,467.0,464.5,27,235810.0,28,507.7,639702.0
2023-05,485.0,490.0,487.5,31,236810.0,31,485.8,612108.0
2023-06,488.0,493.0,490.5,30,272330.0,30,555.2,699552.0
2023-07,545.0,550.0,547.5,31,272330.0,31,497.4,626724.0
2023-08,725.0,735.0,730.0,31,417793.0,31,572.3,721098.0
2023-09,790.0,800.0,795.0,29,413400.0,29,520.0,655200.0
2023-10,870.0,920.0,895.0,31,413400.0,31,461.9,581994.0
2023-11,855.0,905.0,880.0,30,530000.0,30,602.3,758898.0
2023-12,975.0,1025.0,1000.0,29,530000.0,29,530.0,667800.0
2024-01,1145.0,1195.0,1170.0,31,530000.0,31,453.0,570780.0
2024-02,1000.0,1030.0,1015.0,29,530000.0,29,522.2,657972.0
2024-03,980.0,1010.0,995.0,27,689000.0,27,692.5,872550.0
2024-04,1010.0,1040.0,1025.0,30,821500.0,30,801.5,1009890.0
2024-05,1195.0,1225.0,1210.0,31,821500.0,31,678.9,855414.0
2024-06,1335.0,1365.0,1350.0,28,821500.0,28,608.5,766710.0
2024-07,1340.0,1370.0,1355.0,31,821500.0,31,606.3,763938.0
2024-08,1275.0,1305.0,1290.0,30,954000.0,30,739.5,931770.0
